Country Name,Country Code,Indicator Name,Year,Value
Honduras,HND,"Unemployment, total (% of total labor force)",1960,
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force)",1960,
Hungary,HUN,"Unemployment, total (% of total labor force)",1960,
Iceland,ISL,"Unemployment, total (% of total labor force)",1960,
India,IND,"Unemployment, total (% of total labor force)",1960,
Indonesia,IDN,"Unemployment, total (% of total labor force)",1960,
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force)",1960,
Iraq,IRQ,"Unemployment, total (% of total labor force)",1960,
Ireland,IRL,"Unemployment, total (% of total labor force)",1960,
Isle of Man,IMY,"Unemployment, total (% of total labor force)",1960,
Israel,ISR,"Unemployment, total (% of total labor force)",1960,
Italy,ITA,"Unemployment, total (% of total labor force)",1960,
Jamaica,JAM,"Unemployment, total (% of total labor force)",1960,
Japan,JPN,"Unemployment, total (% of total labor force)",1960,
Jordan,JOR,"Unemployment, total (% of total labor force)",1960,
Kazakhstan,KAZ,"Unemployment, total (% of total labor force)",1960,
Kenya,KEN,"Unemployment, total (% of total labor force)",1960,
Kiribati,KIR,"Unemployment, total (% of total labor force)",1960,
"Korea, Dem. People’s Rep.",PRK,"Unemployment, total (% of total labor force)",1960,
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force)",1960,
Kosovo,KSV,"Unemployment, total (% of total labor force)",1960,
Kuwait,KWT,"Unemployment, total (% of total labor force)",1960,
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force)",1960,
Lao PDR,LAO,"Unemployment, total (% of total labor force)",1960,
Latvia,LVA,"Unemployment, total (% of total labor force)",1960,
Lebanon,LBN,"Unemployment, total (% of total labor force)",1960,
Lesotho,LSO,"Unemployment, total (% of total labor force)",1960,
Liberia,LBR,"Unemployment, total (% of total labor force)",1960,
Libya,LBY,"Unemployment, total (% of total labor force)",1960,
Liechtenstein,LIE,"Unemployment, total (% of total labor force)",1960,
Lithuania,LTU,"Unemployment, total (% of total labor force)",1960,
Luxembourg,LUX,"Unemployment, total (% of total labor force)",1960,
"Macao SAR, China",MAC,"Unemployment, total (% of total labor force)",1960,
"Macedonia, FYR",MKD,"Unemployment, total (% of total labor force)",1960,
Madagascar,MDG,"Unemployment, total (% of total labor force)",1960,
Malawi,MWI,"Unemployment, total (% of total labor force)",1960,
Malaysia,MYS,"Unemployment, total (% of total labor force)",1960,
Maldives,MDV,"Unemployment, total (% of total labor force)",1960,
Mali,MLI,"Unemployment, total (% of total labor force)",1960,
Malta,MLT,"Unemployment, total (% of total labor force)",1960,
Marshall Islands,MHL,"Unemployment, total (% of total labor force)",1960,
Mauritania,MRT,"Unemployment, total (% of total labor force)",1960,
Mauritius,MUS,"Unemployment, total (% of total labor force)",1960,
Mexico,MEX,"Unemployment, total (% of total labor force)",1960,
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force)",1960,
Moldova,MDA,"Unemployment, total (% of total labor force)",1960,
Monaco,MCO,"Unemployment, total (% of total labor force)",1960,
Mongolia,MNG,"Unemployment, total (% of total labor force)",1960,
Montenegro,MNE,"Unemployment, total (% of total labor force)",1960,
Morocco,MAR,"Unemployment, total (% of total labor force)",1960,
Mozambique,MOZ,"Unemployment, total (% of total labor force)",1960,
Myanmar,MMR,"Unemployment, total (% of total labor force)",1960,
Namibia,NAM,"Unemployment, total (% of total labor force)",1960,
Nauru,NRU,"Unemployment, total (% of total labor force)",1960,
Nepal,NPL,"Unemployment, total (% of total labor force)",1960,
Netherlands,NLD,"Unemployment, total (% of total labor force)",1960,
New Caledonia,NCL,"Unemployment, total (% of total labor force)",1960,
New Zealand,NZL,"Unemployment, total (% of total labor force)",1960,
Nicaragua,NIC,"Unemployment, total (% of total labor force)",1960,
Niger,NER,"Unemployment, total (% of total labor force)",1960,
Nigeria,NGA,"Unemployment, total (% of total labor force)",1960,
Northern Mariana Islands,MNP,"Unemployment, total (% of total labor force)",1960,
Norway,NOR,"Unemployment, total (% of total labor force)",1960,
Oman,OMN,"Unemployment, total (% of total labor force)",1960,
Pakistan,PAK,"Unemployment, total (% of total labor force)",1960,
Palau,PLW,"Unemployment, total (% of total labor force)",1960,
Panama,PAN,"Unemployment, total (% of total labor force)",1960,
Papua New Guinea,PNG,"Unemployment, total (% of total labor force)",1960,
Paraguay,PRY,"Unemployment, total (% of total labor force)",1960,
Peru,PER,"Unemployment, total (% of total labor force)",1960,
Philippines,PHL,"Unemployment, total (% of total labor force)",1960,
Poland,POL,"Unemployment, total (% of total labor force)",1960,
Portugal,PRT,"Unemployment, total (% of total labor force)",1960,
Puerto Rico,PRI,"Unemployment, total (% of total labor force)",1960,
Qatar,QAT,"Unemployment, total (% of total labor force)",1960,
Romania,ROM,"Unemployment, total (% of total labor force)",1960,
Russian Federation,RUS,"Unemployment, total (% of total labor force)",1960,
Rwanda,RWA,"Unemployment, total (% of total labor force)",1960,
Samoa,WSM,"Unemployment, total (% of total labor force)",1960,
San Marino,SMR,"Unemployment, total (% of total labor force)",1960,
Sao Tome and Principe,STP,"Unemployment, total (% of total labor force)",1960,
Saudi Arabia,SAU,"Unemployment, total (% of total labor force)",1960,
Senegal,SEN,"Unemployment, total (% of total labor force)",1960,
Serbia,SRB,"Unemployment, total (% of total labor force)",1960,
Seychelles,SYC,"Unemployment, total (% of total labor force)",1960,
Sierra Leone,SLE,"Unemployment, total (% of total labor force)",1960,
Singapore,SGP,"Unemployment, total (% of total labor force)",1960,
Sint Maarten (Dutch part),SXM,"Unemployment, total (% of total labor force)",1960,
Slovak Republic,SVK,"Unemployment, total (% of total labor force)",1960,
Slovenia,SVN,"Unemployment, total (% of total labor force)",1960,
Solomon Islands,SLB,"Unemployment, total (% of total labor force)",1960,
Somalia,SOM,"Unemployment, total (% of total labor force)",1960,
South Africa,ZAF,"Unemployment, total (% of total labor force)",1960,
South Sudan,SSD,"Unemployment, total (% of total labor force)",1960,
Spain,ESP,"Unemployment, total (% of total labor force)",1960,
Sri Lanka,LKA,"Unemployment, total (% of total labor force)",1960,
St. Kitts and Nevis,KNA,"Unemployment, total (% of total labor force)",1960,
St. Lucia,LCA,"Unemployment, total (% of total labor force)",1960,
St. Martin (French part),MAF,"Unemployment, total (% of total labor force)",1960,
St. Vincent and the Grenadines,VCT,"Unemployment, total (% of total labor force)",1960,
Sudan,SDN,"Unemployment, total (% of total labor force)",1960,
Suriname,SUR,"Unemployment, total (% of total labor force)",1960,
Swaziland,SWZ,"Unemployment, total (% of total labor force)",1960,
Sweden,SWE,"Unemployment, total (% of total labor force)",1960,
Switzerland,CHE,"Unemployment, total (% of total labor force)",1960,
Syrian Arab Republic,SYR,"Unemployment, total (% of total labor force)",1960,
Tajikistan,TJK,"Unemployment, total (% of total labor force)",1960,
Tanzania,TZA,"Unemployment, total (% of total labor force)",1960,
Thailand,THA,"Unemployment, total (% of total labor force)",1960,
Timor-Leste,TMP,"Unemployment, total (% of total labor force)",1960,
Togo,TGO,"Unemployment, total (% of total labor force)",1960,
Tonga,TON,"Unemployment, total (% of total labor force)",1960,
Trinidad and Tobago,TTO,"Unemployment, total (% of total labor force)",1960,
Tunisia,TUN,"Unemployment, total (% of total labor force)",1960,
Turkey,TUR,"Unemployment, total (% of total labor force)",1960,
Turkmenistan,TKM,"Unemployment, total (% of total labor force)",1960,
Turks and Caicos Islands,TCA,"Unemployment, total (% of total labor force)",1960,
Tuvalu,TUV,"Unemployment, total (% of total labor force)",1960,
Uganda,UGA,"Unemployment, total (% of total labor force)",1960,
Ukraine,UKR,"Unemployment, total (% of total labor force)",1960,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force)",1960,
United Kingdom,GBR,"Unemployment, total (% of total labor force)",1960,
United States,USA,"Unemployment, total (% of total labor force)",1960,
Uruguay,URY,"Unemployment, total (% of total labor force)",1960,
Uzbekistan,UZB,"Unemployment, total (% of total labor force)",1960,
Vanuatu,VUT,"Unemployment, total (% of total labor force)",1960,
"Venezuela, RB",VEN,"Unemployment, total (% of total labor force)",1960,
Vietnam,VNM,"Unemployment, total (% of total labor force)",1960,
Virgin Islands (U.S.),VIR,"Unemployment, total (% of total labor force)",1960,
West Bank and Gaza,WBG,"Unemployment, total (% of total labor force)",1960,
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force)",1960,
Zambia,ZMB,"Unemployment, total (% of total labor force)",1960,
Zimbabwe,ZWE,"Unemployment, total (% of total labor force)",1960,
Arab World,ARB,"Unemployment, total (% of total labor force)",1961,
Caribbean small states,CSS,"Unemployment, total (% of total labor force)",1961,
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force)",1961,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force)",1961,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force)",1961,
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force)",1961,
East Asia & Pacific (IDA & IBRD countries),TEA,"Unemployment, total (% of total labor force)",1961,
Euro area,EMU,"Unemployment, total (% of total labor force)",1961,
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force)",1961,
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force)",1961,
Europe & Central Asia (IDA & IBRD countries),TEC,"Unemployment, total (% of total labor force)",1961,
European Union,EUU,"Unemployment, total (% of total labor force)",1961,
Fragile and conflict affected situations,FCS,"Unemployment, total (% of total labor force)",1961,
Heavily indebted poor countries (HIPC),HPC,"Unemployment, total (% of total labor force)",1961,
High income,HIC,"Unemployment, total (% of total labor force)",1961,
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force)",1961,
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force)",1961,
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force)",1961,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force)",1961,
Least developed countries: UN classification,LDC,"Unemployment, total (% of total labor force)",1961,
Low & middle income,LMY,"Unemployment, total (% of total labor force)",1961,
Low income,LIC,"Unemployment, total (% of total labor force)",1961,
Lower middle income,LMC,"Unemployment, total (% of total labor force)",1961,
Middle East & North Africa,MEA,"Unemployment, total (% of total labor force)",1961,
Middle East & North Africa (excluding high income),MNA,"Unemployment, total (% of total labor force)",1961,
Middle East & North Africa (IDA & IBRD countries),TMN,"Unemployment, total (% of total labor force)",1961,
Middle income,MIC,"Unemployment, total (% of total labor force)",1961,
North America,NAC,"Unemployment, total (% of total labor force)",1961,
OECD members,OED,"Unemployment, total (% of total labor force)",1961,
Other small states,OSS,"Unemployment, total (% of total labor force)",1961,
Pacific island small states,PSS,"Unemployment, total (% of total labor force)",1961,
Post-demographic dividend,PST,"Unemployment, total (% of total labor force)",1961,
Pre-demographic dividend,PRE,"Unemployment, total (% of total labor force)",1961,
Small states,SST,"Unemployment, total (% of total labor force)",1961,
South Asia,SAS,"Unemployment, total (% of total labor force)",1961,
South Asia (IDA & IBRD),TSA,"Unemployment, total (% of total labor force)",1961,
Sub-Saharan Africa,SSF,"Unemployment, total (% of total labor force)",1961,
Sub-Saharan Africa (excluding high income),SSA,"Unemployment, total (% of total labor force)",1961,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Unemployment, total (% of total labor force)",1961,
Upper middle income,UMC,"Unemployment, total (% of total labor force)",1961,
World,WLD,"Unemployment, total (% of total labor force)",1961,
Afghanistan,AFG,"Unemployment, total (% of total labor force)",1961,
Albania,ALB,"Unemployment, total (% of total labor force)",1961,
Algeria,DZA,"Unemployment, total (% of total labor force)",1961,
American Samoa,ASM,"Unemployment, total (% of total labor force)",1961,
Andorra,ADO,"Unemployment, total (% of total labor force)",1961,
Angola,AGO,"Unemployment, total (% of total labor force)",1961,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force)",1961,
Argentina,ARG,"Unemployment, total (% of total labor force)",1961,
Armenia,ARM,"Unemployment, total (% of total labor force)",1961,
Aruba,ABW,"Unemployment, total (% of total labor force)",1961,
Australia,AUS,"Unemployment, total (% of total labor force)",1961,
Austria,AUT,"Unemployment, total (% of total labor force)",1961,
Azerbaijan,AZE,"Unemployment, total (% of total labor force)",1961,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force)",1961,
Bahrain,BHR,"Unemployment, total (% of total labor force)",1961,
Bangladesh,BGD,"Unemployment, total (% of total labor force)",1961,
Barbados,BRB,"Unemployment, total (% of total labor force)",1961,
Belarus,BLR,"Unemployment, total (% of total labor force)",1961,
Belgium,BEL,"Unemployment, total (% of total labor force)",1961,
Belize,BLZ,"Unemployment, total (% of total labor force)",1961,
Benin,BEN,"Unemployment, total (% of total labor force)",1961,
Bermuda,BMU,"Unemployment, total (% of total labor force)",1961,
Bhutan,BTN,"Unemployment, total (% of total labor force)",1961,
Bolivia,BOL,"Unemployment, total (% of total labor force)",1961,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force)",1961,
Botswana,BWA,"Unemployment, total (% of total labor force)",1961,
Brazil,BRA,"Unemployment, total (% of total labor force)",1961,
British Virgin Islands,VGB,"Unemployment, total (% of total labor force)",1961,
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force)",1961,
Bulgaria,BGR,"Unemployment, total (% of total labor force)",1961,
Burkina Faso,BFA,"Unemployment, total (% of total labor force)",1961,
Burundi,BDI,"Unemployment, total (% of total labor force)",1961,
Cabo Verde,CPV,"Unemployment, total (% of total labor force)",1961,
Cambodia,KHM,"Unemployment, total (% of total labor force)",1961,
Cameroon,CMR,"Unemployment, total (% of total labor force)",1961,
Canada,CAN,"Unemployment, total (% of total labor force)",1961,
Cayman Islands,CYM,"Unemployment, total (% of total labor force)",1961,
Central African Republic,CAF,"Unemployment, total (% of total labor force)",1961,
Chad,TCD,"Unemployment, total (% of total labor force)",1961,
Channel Islands,CHI,"Unemployment, total (% of total labor force)",1961,
Chile,CHL,"Unemployment, total (% of total labor force)",1961,
China,CHN,"Unemployment, total (% of total labor force)",1961,
Colombia,COL,"Unemployment, total (% of total labor force)",1961,
Comoros,COM,"Unemployment, total (% of total labor force)",1961,
"Congo, Dem. Rep.",ZAR,"Unemployment, total (% of total labor force)",1961,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force)",1961,
Costa Rica,CRI,"Unemployment, total (% of total labor force)",1961,
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force)",1961,
Croatia,HRV,"Unemployment, total (% of total labor force)",1961,
Cuba,CUB,"Unemployment, total (% of total labor force)",1961,
Curacao,CUW,"Unemployment, total (% of total labor force)",1961,
Cyprus,CYP,"Unemployment, total (% of total labor force)",1961,
Czech Republic,CZE,"Unemployment, total (% of total labor force)",1961,
Denmark,DNK,"Unemployment, total (% of total labor force)",1961,
Djibouti,DJI,"Unemployment, total (% of total labor force)",1961,
Dominica,DMA,"Unemployment, total (% of total labor force)",1961,
Dominican Republic,DOM,"Unemployment, total (% of total labor force)",1961,
Ecuador,ECU,"Unemployment, total (% of total labor force)",1961,
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force)",1961,
El Salvador,SLV,"Unemployment, total (% of total labor force)",1961,
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force)",1961,
Eritrea,ERI,"Unemployment, total (% of total labor force)",1961,
Estonia,EST,"Unemployment, total (% of total labor force)",1961,
Ethiopia,ETH,"Unemployment, total (% of total labor force)",1961,
Faroe Islands,FRO,"Unemployment, total (% of total labor force)",1961,
Fiji,FJI,"Unemployment, total (% of total labor force)",1961,
Finland,FIN,"Unemployment, total (% of total labor force)",1961,
France,FRA,"Unemployment, total (% of total labor force)",1961,
French Polynesia,PYF,"Unemployment, total (% of total labor force)",1961,
Gabon,GAB,"Unemployment, total (% of total labor force)",1961,
"Gambia, The",GMB,"Unemployment, total (% of total labor force)",1961,
Georgia,GEO,"Unemployment, total (% of total labor force)",1961,
Germany,DEU,"Unemployment, total (% of total labor force)",1961,
Ghana,GHA,"Unemployment, total (% of total labor force)",1961,
Gibraltar,GIB,"Unemployment, total (% of total labor force)",1961,
Greece,GRC,"Unemployment, total (% of total labor force)",1961,
Greenland,GRL,"Unemployment, total (% of total labor force)",1961,
Grenada,GRD,"Unemployment, total (% of total labor force)",1961,
Guam,GUM,"Unemployment, total (% of total labor force)",1961,
Guatemala,GTM,"Unemployment, total (% of total labor force)",1961,
Guinea,GIN,"Unemployment, total (% of total labor force)",1961,
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force)",1961,
Guyana,GUY,"Unemployment, total (% of total labor force)",1961,
Haiti,HTI,"Unemployment, total (% of total labor force)",1961,
Honduras,HND,"Unemployment, total (% of total labor force)",1961,
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force)",1961,
Hungary,HUN,"Unemployment, total (% of total labor force)",1961,
Iceland,ISL,"Unemployment, total (% of total labor force)",1961,
India,IND,"Unemployment, total (% of total labor force)",1961,
Indonesia,IDN,"Unemployment, total (% of total labor force)",1961,
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force)",1961,
Iraq,IRQ,"Unemployment, total (% of total labor force)",1961,
Ireland,IRL,"Unemployment, total (% of total labor force)",1961,
Isle of Man,IMY,"Unemployment, total (% of total labor force)",1961,
Israel,ISR,"Unemployment, total (% of total labor force)",1961,
Italy,ITA,"Unemployment, total (% of total labor force)",1961,
Jamaica,JAM,"Unemployment, total (% of total labor force)",1961,
Japan,JPN,"Unemployment, total (% of total labor force)",1961,
Jordan,JOR,"Unemployment, total (% of total labor force)",1961,
Kazakhstan,KAZ,"Unemployment, total (% of total labor force)",1961,
Kenya,KEN,"Unemployment, total (% of total labor force)",1961,
Kiribati,KIR,"Unemployment, total (% of total labor force)",1961,
"Korea, Dem. People’s Rep.",PRK,"Unemployment, total (% of total labor force)",1961,
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force)",1961,
Kosovo,KSV,"Unemployment, total (% of total labor force)",1961,
Kuwait,KWT,"Unemployment, total (% of total labor force)",1961,
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force)",1961,
Lao PDR,LAO,"Unemployment, total (% of total labor force)",1961,
Latvia,LVA,"Unemployment, total (% of total labor force)",1961,
Lebanon,LBN,"Unemployment, total (% of total labor force)",1961,
Lesotho,LSO,"Unemployment, total (% of total labor force)",1961,
Liberia,LBR,"Unemployment, total (% of total labor force)",1961,
Libya,LBY,"Unemployment, total (% of total labor force)",1961,
Liechtenstein,LIE,"Unemployment, total (% of total labor force)",1961,
Lithuania,LTU,"Unemployment, total (% of total labor force)",1961,
Luxembourg,LUX,"Unemployment, total (% of total labor force)",1961,
"Macao SAR, China",MAC,"Unemployment, total (% of total labor force)",1961,
"Macedonia, FYR",MKD,"Unemployment, total (% of total labor force)",1961,
Madagascar,MDG,"Unemployment, total (% of total labor force)",1961,
Malawi,MWI,"Unemployment, total (% of total labor force)",1961,
Malaysia,MYS,"Unemployment, total (% of total labor force)",1961,
Maldives,MDV,"Unemployment, total (% of total labor force)",1961,
Mali,MLI,"Unemployment, total (% of total labor force)",1961,
Malta,MLT,"Unemployment, total (% of total labor force)",1961,
Marshall Islands,MHL,"Unemployment, total (% of total labor force)",1961,
Mauritania,MRT,"Unemployment, total (% of total labor force)",1961,
Mauritius,MUS,"Unemployment, total (% of total labor force)",1961,
Mexico,MEX,"Unemployment, total (% of total labor force)",1961,
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force)",1961,
Moldova,MDA,"Unemployment, total (% of total labor force)",1961,
Monaco,MCO,"Unemployment, total (% of total labor force)",1961,
Mongolia,MNG,"Unemployment, total (% of total labor force)",1961,
Montenegro,MNE,"Unemployment, total (% of total labor force)",1961,
